"CO_MACSAUD";"CO_STATUS";"DS_NOME";"DS_NOMEPAD";"DS_ABREV";"NU_ORDEM"
"2201";"ATIVO";"Parnaíba";"PARNAIBA";"Parnaíba";"1"
"2202";"ATIVO";"Teresina";"TERESINA";"Teresina";"1"
"2203";"ATIVO";"Floriano";"FLORIANO";"Floriano";"1"
"2204";"ATIVO";"Picos";"PICOS";"Picos";"1"
"2205";"ATIVO";"São Raimundo Nonato";"SAO RAIMUNDO NONATO";"São Raimundo Nonato";"1"
"2206";"ATIVO";"Bom Jesus";"BOM JESUS";"Bom Jesus";"1"
"2300";"IGNOR";"Município ignorado - CE";"MUNICIPIO IGNORADO - CE";"Ignorado - CE";"8"
"2301";"ATIVO";"Fortaleza";"FORTALEZA";"Fortaleza";"1"
"2302";"ATIVO";"Sobral";"SOBRAL";"Sobral";"1"
"2303";"ATIVO";"Cariri";"CARIRI";"Cariri";"1"
"2304";"ATIVO";"Sertão Central";"SERTAO CENTRAL";"Sertão Central";"1"
"2305";"ATIVO";"Litoral Leste/Jaguaribe";"LITORAL LESTE/JAGUARIBE";"Litoral Leste/Jaguaribe";"1"
"2400";"IGNOR";"Município ignorado - RN";"MUNICIPIO IGNORADO - RN";"Ignorado - RN";"8"
"2490";"OUTROS";"Região não definida - RN";"REGIAO NAO DEFINIDA - RN";"Região não definida - RN";"5"
"2500";"IGNOR";"Município ignorado - PB";"MUNICIPIO IGNORADO - PB";"Ignorado - PB";"8"
"2590";"OUTROS";"Região não definida - PB";"REGIAO NAO DEFINIDA - PB";"Região não definida - PB";"5"
"2600";"IGNOR";"Município ignorado - PE";"MUNICIPIO IGNORADO - PE";"Ignorado - PE";"8"
"2601";"ATIVO";"Metropolitana";"METROPOLITANA";"Metropolitana";"1"
"2602";"ATIVO";"Agreste";"AGRESTE";"Agreste";"1"
"2603";"ATIVO";"Sertão Pernambucano";"SERTAO PERNAMBUCANO";"Sertão Pernambucano";"1"
"2604";"ATIVO";"Vale do São Francisco e Araripe";"VALE DO SAO FRANCISCO E ARARIPE";"Vale S.Francisco/Araripe";"1"
"2700";"IGNOR";"Município ignorado - AL";"MUNICIPIO IGNORADO - AL";"Ignorado - AL";"8"
"2701";"ATIVO";"1ª Macrorregião";"1A MACRORREGIAO";"1ª Macrorregião";"1"
"2702";"ATIVO";"2ª Macrorregião";"2A MACRORREGIAO";"2ª Macrorregião";"1"
"2800";"IGNOR";"Município ignorado - SE";"MUNICIPIO IGNORADO - SE";"Ignorado - SE";"8"
"2890";"OUTROS";"Região não definida - SE";"REGIAO NAO DEFINIDA - SE";"Região não definida - SE";"5"
"2900";"IGNOR";"Município ignorado - BA";"MUNICIPIO IGNORADO - BA";"Ignorado - BA";"8"
"2901";"ATIVO";"Centro-Leste";"CENTRO-LESTE";"Centro-Leste";"1"
"2902";"ATIVO";"Centro-Norte";"CENTRO-NORTE";"Centro-Norte";"1"
"2903";"ATIVO";"Extremo Sul";"EXTREMO SUL";"Extremo Sul";"1"
"2904";"ATIVO";"Leste";"LESTE";"Leste";"1"
"2905";"ATIVO";"Nordeste";"NORDESTE";"Nordeste";"1"
"2906";"ATIVO";"Norte";"NORTE";"Norte";"1"
"2907";"ATIVO";"Oeste";"OESTE";"Oeste";"1"
"2908";"ATIVO";"Sudoeste";"SUDOESTE";"Sudoeste";"1"
"2909";"ATIVO";"Sul";"SUL";"Sul";"1"
"3100";"IGNOR";"Município ignorado - MG";"MUNICIPIO IGNORADO - MG";"Ignorado - MG";"8"
"3101";"ATIVO";"Sul";"SUL";"Sul";"1"
"3102";"ATIVO";"Centro Sul";"CENTRO SUL";"Centro Sul";"1"
"3103";"ATIVO";"Centro";"CENTRO";"Centro";"1"
"3104";"ATIVO";"Jequitinhonha";"JEQUITINHONHA";"Jequitinhonha";"1"
"3105";"ATIVO";"Oeste";"OESTE";"Oeste";"1"
"3106";"ATIVO";"Leste";"LESTE";"Leste";"1"
"3107";"ATIVO";"Sudeste";"SUDESTE";"Sudeste";"1"
"3108";"ATIVO";"Norte";"NORTE";"Norte";"1"
"3109";"ATIVO";"Noroeste";"NOROESTE";"Noroeste";"1"
"3110";"ATIVO";"Leste do Sul";"LESTE DO SUL";"Leste do Sul";"1"
"3111";"ATIVO";"Nordeste";"NORDESTE";"Nordeste";"1"
"3112";"ATIVO";"Triângulo do Sul";"TRIANGULO DO SUL";"Triângulo do Sul";"1"
"3113";"ATIVO";"Triângulo do Norte";"TRIANGULO DO NORTE";"Triângulo do Norte";"1"
"3200";"IGNOR";"Município ignorado - ES";"MUNICIPIO IGNORADO - ES";"Ignorado - ES";"8"
"3290";"OUTROS";"Região não definida - ES";"REGIAO NAO DEFINIDA - ES";"Região não definida - ES";"5"
"3300";"IGNOR";"Município ignorado - RJ";"MUNICIPIO IGNORADO - RJ";"Ignorado - RJ";"8"
"3390";"OUTROS";"Região não definida - RJ";"REGIAO NAO DEFINIDA - RJ";"Região não definida - RJ";"5"
"3500";"IGNOR";"Município ignorado - SP";"MUNICIPIO IGNORADO - SP";"Ignorado - SP";"8"
"3501";"ATIVO";"RRAS 01";"RRAS 01";"RRAS 01";"1"
"3502";"ATIVO";"RRAS 02";"RRAS 02";"RRAS 02";"1"
"3503";"ATIVO";"RRAS 03";"RRAS 03";"RRAS 03";"1"
"3504";"ATIVO";"RRAS 04";"RRAS 04";"RRAS 04";"1"
"3505";"ATIVO";"RRAS 05";"RRAS 05";"RRAS 05";"1"
"3506";"ATIVO";"RRAS 06";"RRAS 06";"RRAS 06";"1"
"3507";"ATIVO";"RRAS 07";"RRAS 07";"RRAS 07";"1"
"3508";"ATIVO";"RRAS 08";"RRAS 08";"RRAS 08";"1"
"3509";"ATIVO";"RRAS 09";"RRAS 09";"RRAS 09";"1"
"3510";"ATIVO";"RRAS 10";"RRAS 10";"RRAS 10";"1"
"3511";"ATIVO";"RRAS 11";"RRAS 11";"RRAS 11";"1"
"3512";"ATIVO";"RRAS 12";"RRAS 12";"RRAS 12";"1"
"3513";"ATIVO";"RRAS 13";"RRAS 13";"RRAS 13";"1"
"3514";"ATIVO";"RRAS 14";"RRAS 14";"RRAS 14";"1"
"3515";"ATIVO";"RRAS 15";"RRAS 15";"RRAS 15";"1"
"3516";"ATIVO";"RRAS 16";"RRAS 16";"RRAS 16";"1"
"3517";"ATIVO";"RRAS 17";"RRAS 17";"RRAS 17";"1"
"4100";"IGNOR";"Município ignorado - PR";"MUNICIPIO IGNORADO - PR";"Ignorado - PR";"8"
"4101";"ATIVO";"Leste";"LESTE";"Leste";"1"
"4102";"ATIVO";"Norte";"NORTE";"Norte";"1"
"4103";"ATIVO";"Oeste";"OESTE";"Oeste";"1"
"4104";"ATIVO";"Noroeste";"NOROESTE";"Noroeste";"1"
"4200";"IGNOR";"Município ignorado - SC";"MUNICÍPIO IGNORADO - SC";"Ignorado - SC";"8"
"4201";"ATIVO";"Grande Oeste";"GRANDE OESTE";"Grande Oeste";"1"
"4202";"ATIVO";"Meio Oeste";"MEIO OESTE";"Meio Oeste";"1"
"4203";"ATIVO";"Vale do Itajaí";"VALE DO ITAJAI";"Vale do Itajaí";"1"
"4204";"ATIVO";"Foz do Rio Itajaí";"FOZ DO RIO ITAJAI";"Foz do Rio Itajaí";"1"
"4205";"ATIVO";"Grande Florianópolis";"GRANDE FLORIANOPOLIS";"Grande Florianópolis";"1"
"4206";"ATIVO";"Sul";"SUL";"Sul";"1"
"4207";"ATIVO";"Nordeste";"NORDESTE";"Nordeste";"1"
"4208";"ATIVO";"Planalto Norte";"PLANALTO NORTE";"Planalto Norte";"1"
"4209";"ATIVO";"Serra Catarinense";"SERRA CATARINENSE";"Serra Catarinense";"1"
"4300";"IGNOR";"Município ignorado - RS";"MUNICIPIO IGNORADO - RS";"Ignorado - RS";"8"
"4301";"ATIVO";"Centro-Oeste";"CENTRO-OESTE";"Centro-Oeste";"1"
"4302";"ATIVO";"Metropolitana";"METROPOLITANA";"Metropolitana";"1"
"4303";"ATIVO";"Missioneira";"MISSIONEIRA";"Missioneira";"1"
"4304";"ATIVO";"Norte";"NORTE";"Norte";"1"
"4305";"ATIVO";"Serra";"SERRA";"Serra";"1"
"4306";"ATIVO";"Sul";"SUL";"Sul";"1"
"4307";"ATIVO";"Vales";"VALES";"Vales";"1"
"5000";"IGNOR";"Município ignorado - MS";"MUNICIPIO IGNORADO - MS";"Ignorado - MS";"8"
"5090";"OUTROS";"Região não definida - MS";"REGIAO NAO DEFINIDA - MS";"Região não definida - MS";"5"
"5100";"IGNOR";"Município ignorado - MT";"MUNICIPIO IGNORADO - MT";"Ignorado - MT";"8"
"5190";"OUTROS";"Região não definida - MT";"REGIAO NAO DEFINIDA - MT";"Região não definida - MT";"5"
"5200";"IGNOR";"Município ignorado - GO";"MUNICIPIO IGNORADO - GO";"Ignorado - GO";"8"
"5201";"ATIVO";"Centro Oeste";"CENTRO OESTE";"Centro Oeste";"1"
"5202";"ATIVO";"Nordeste";"NORDESTE";"Nordeste";"1"
"5203";"ATIVO";"Centro Norte";"CENTRO NORTE";"Centro Norte";"1"
"5204";"ATIVO";"Sudoeste";"SUDOESTE";"Sudoeste";"1"
"5205";"ATIVO";"Centro Sudeste";"CENTRO SUDESTE";"Centro Sudeste";"1"
"5298";"TRANSF";"Municípios transferidos para Tocantins";"MUNICIPIOS TRANSFERIDOS PARA TOCANTINS";"Transf p/Tocantins";"7"
"5301";"ATIVO";"Brasília";"BRASILIA";"Brasília";"1"
